state,money_raised_dem,votes_dem,money_raised_rep,votes_rep,population,education,education_rate,economy,economy_rate,crime,crime_rate
Alabama,11354604.58,769391,32932141.3,1457704,5143030,1347473.86,0.262,174863.02,0.034,243111.0281,0.04727
Alaska,6771081.18,133995,6392854.42,178670,733536,220060.8,0.3,39610.944,0.054,39310.19424,0.05359
Arizona,58352585.94,1577729,58870946.48,1764862,7497000,2271591,0.303,269892,0.036,370351.8,0.0494
Arkansas,18076859.49,395855,45131981.65,758057,3089060,735196.28,0.238,101938.98,0.033,182223.6494,0.05899
California,952135146.9,8879703,332266841.9,5747743,38889800,13494760.6,0.347,2061159.4,0.053,1835598.56,0.0472
Colorado,83925758.48,1727379,51810224.95,1376905,5914180,2460298.88,0.416,242481.38,0.041,360232.7038,0.06091
Connecticut,87209741.9,991224,43611691.67,736881,3625650,1450260,0.4,108769.5,0.03,120081.528,0.03312
Delaware,62201541.47,289585,21381511.21,214184,1044320,341492.64,0.327,41772.8,0.04,45480.136,0.04355
Florida,262145111.7,4680890,502221677.9,6109549,22975900,13739588.2,0.598,1309626.3,0.057,1834855.374,0.07986
Georgia,53704291.93,2548014,73288991.43,2663110,11145300,3399316.5,0.305,367794.9,0.033,437118.666,0.03922
Hawaii,10205441.19,312384,3421959.84,193169,1430880,460743.36,0.322,51511.68,0.036,63173.352,0.04415
Idaho,9569685.19,274973,14271453.3,605144,1990460,668794.56,0.336,57723.34,0.029,101055.6542,0.05077
Illinois,284372448.9,3012186,154325461.6,2427013,12516900,3592350.3,0.287,475642.2,0.038,308666.754,0.02466
Indiana,26955483.57,1160146,35772821.64,1715058,6892120,2446702.6,0.355,344606,0.05,244325.654,0.03545
Iowa,14463259.8,707290,15138969.54,927531,3214320,874295.04,0.272,141430.08,0.044,126129.9168,0.03924
Kansas,13114660.83,532475,22180899.02,741949,2944380,862703.34,0.293,88331.4,0.03,108942.06,0.037
Kentucky,17224831.56,700920,20483041.91,1336227,4540740,1539310.86,0.339,154385.16,0.034,218999.8902,0.04823
Louisiana,11994660.05,766424,33500460.96,1208269,4559480,1139870,0.25,227974,0.05,174080.9464,0.03818
Maine,15484908.01,430795,4962964.6,374972,1402110,349125.39,0.249,65899.17,0.047,89847.2088,0.06408
Maryland,124781738.7,1804204,39828669.06,1011578,6196520,2013869,0.325,179699.08,0.029,150017.7492,0.02421
Massachusetts,208770975.6,2072571,40214725.17,1234961,7020060,2871204.54,0.409,210601.8,0.03,254055.9714,0.03619
Michigan,76220447.07,2724029,59545885.88,2804647,10041200,4468334,0.445,401648,0.04,242494.98,0.02415
Minnesota,61790191.88,1656968,31372333.34,1519017,5761530,1728459,0.3,305361.09,0.053,184368.96,0.032
Mississippi,4356249.45,429231,13777949.56,708302,2940450,1082085.6,0.368,99975.3,0.034,133114.1715,0.04527
Missouri,33154349.28,1191139,40207155.58,1739476,6215140,1417051.92,0.228,180239.06,0.029,279308.3916,0.04494
Montana,15566798.36,231761,14390489.32,351945,1142750,341682.25,0.299,42281.75,0.037,64051.1375,0.05605
Nebraska,11265642.85,364893,28741724.28,560553,1988700,658259.7,0.331,67615.8,0.034,93687.657,0.04711
Nevada,82812675.67,705197,160317491.5,751205,3210930,1043552.25,0.325,86695.11,0.027,133317.8136,0.04152
New Hampshire,22137444.57,418493,10014875.87,395577,1405100,358300.5,0.255,60419.3,0.043,60616.014,0.04314
New Jersey,89620449.91,2197124,46485239.75,1954794,9320860,3504643.36,0.376,233021.5,0.025,218480.9584,0.02344
New Mexico,25756001.07,478727,11512356.86,423327,2115270,860914.89,0.407,74034.45,0.035,53135.5824,0.02512
New York,502192115.9,4391118,173413768,3468139,19469200,5470845.2,0.281,915052.4,0.047,1258099.704,0.06462
North Carolina,72409145.09,2714346,75897061.52,2897782,10975000,4115625,0.375,482900,0.044,349553.75,0.03185
North Dakota,4717467.8,111966,12166375.51,245943,788940,252460.8,0.32,29190.78,0.037,38437.1568,0.04872
Ohio,76321925.01,2476003,87554720.56,3116579,11812200,3626345.4,0.307,283492.8,0.024,540644.394,0.04577
Oklahoma,14569833.48,499599,31908933.26,1036213,4088380,1181541.82,0.289,175800.34,0.043,163903.1542,0.04009
Oregon,51215407.33,1216305,18089311.01,904547,5227340,1364335.74,0.261,172502.22,0.033,306844.858,0.0587
Pennsylvania,155507902.8,3417108,94828254.79,3539699,12951300,4455247.2,0.344,531003.3,0.041,726438.417,0.05609
Rhode Island,13649354.24,282110,3065742.27,213021,1098080,354679.84,0.323,38432.8,0.035,40387.3824,0.03678
South Carolina,17362218.35,1027255,34483066.2,1481919,5464160,1912456,0.35,251351.36,0.046,148734.4352,0.02722
South Dakota,3337317.04,146859,12223406.07,272081,928767,269342.43,0.29,43652.049,0.047,55475.25291,0.05973
Tennessee,34234594.84,1055045,63373712.18,1964523,7204000,2110772,0.293,136876,0.019,318056.6,0.04415
Texas,230182810,4806474,453322171.1,6375376,30976800,8735457.6,0.282,1022234.4,0.033,1752667.344,0.05658
Utah,15243659.94,557407,23457476.7,873330,3454230,1060448.61,0.307,145077.66,0.042,170535.3351,0.04937
Vermont,12231900.55,235791,1477949.43,119393,647818,224792.846,0.347,22673.63,0.035,33621.7542,0.0519
Virginia,180661517.6,2235958,165726928.6,2011637,8752300,3474663.1,0.397,201302.9,0.023,228172.461,0.02607
Washington,160295557.4,2221254,43967386.86,1505207,7841280,3097305.6,0.395,227397.12,0.029,244726.3488,0.03121
West Virginia,3975657.59,214309,6244101.26,544556,1766110,648162.37,0.367,83007.17,0.047,101710.2749,0.05759
Wisconsin,63485213.83,1667881,54746358.48,1697298,5931370,1263381.81,0.213,249117.54,0.042,187134.7235,0.03155
Wyoming,61200114.68,69508,121528708.8,192576,586485,180637.38,0.308,17594.55,0.03,19324.68075,0.03295
